UNTRANSLATED_PLAYER_FACING=173
UNTRANSLATED: Fullscreen || src/pingus/screens/option_menu.cpp:208
UNTRANSLATED: Software Cursor || src/pingus/screens/option_menu.cpp:211
UNTRANSLATED: Renderer: || src/pingus/screens/option_menu.cpp:220
UNTRANSLATED: You saved exactly what you needed - you made it, but\nmaybe you can do better? || src/pingus/screens/result_screen.cpp:204
UNTRANSLATED: You didn't save enough, but you saved a few.  Next\ntime you might do better. || src/pingus/screens/result_screen.cpp:218
UNTRANSLATED: Only one more and you would have made it - try again! || src/pingus/screens/result_screen.cpp:221
UNTRANSLATED: Only a handful more and you would have made it - try again! || src/pingus/screens/result_screen.cpp:223
UNTRANSLATED: ??? || src/pingus/worldmap/level_dot.cpp:134
UNTRANSLATED: If the way is blocked, bash away || data/levels/tutorial/basher-tutorial-grumbel.pingus:5
UNTRANSLATED: Similar to the Digger action that you already know from previous levels, there is also an action that allows the Pingus to dig horizontally, as opposed to the vertical dig ability the Digger action provides. This new action is called Basher.  || data/levels/tutorial/basher-tutorial-grumbel.pingus:6
UNTRANSLATED: Jump for joy || data/levels/tutorial/jumper-tutorial-grumbel.pingus:5
UNTRANSLATED: Sometimes a Pingu needs to reach a platform that is far away, but not reachable by walking. That's when the Jumper comes in handy - it allows the Pingu to make a small jump and so enables him to reach the platform.  || data/levels/tutorial/jumper-tutorial-grumbel.pingus:6
UNTRANSLATED: Another action hits the street - another digging action, this time a diagonal one. It allows a Pingu to dig diagonally through ground, thus creating a path for following Pingus. The action is called Miner.  || data/levels/tutorial/miner-tutorial2-grumbel.pingus:6
UNTRANSLATED: Panic Island (float/bash) || data/levels/tutorial/snow10-grumbel.pingus:5
UNTRANSLATED: While the previous levels have not required much quick action from you, this one gets a bit trickier. The Pingus are coming out of two entrances in parallel and it is your job to coordinate the two groups wisely.  || data/levels/tutorial/snow10-grumbel.pingus:6
UNTRANSLATED: Jump'n Bump... and Bash... || data/levels/tutorial/snow11-grumbel.pingus:5
UNTRANSLATED: It's panic time again. The Pingus will not come out very fast, but since they turn around when they hit walls you will soon have some trouble coordinating them all. Since you only need to save 5 it should be doable, but if all else fails use the pause-mode ('p') to get an overview again.  || data/levels/tutorial/snow11-grumbel.pingus:6
UNTRANSLATED: Two groups in parallel, coordinate wisely || data/levels/tutorial/snow12-grumbel.pingus:5
UNTRANSLATED: You have two groups to coordinate this time. No need to panic, since this level gives you enough time to think your actions through. No more tips this time, but good luck!  || data/levels/tutorial/snow12-grumbel.pingus:6
UNTRANSLATED: Block'a Rock || data/levels/tutorial/snow14-grumbel.pingus:5
UNTRANSLATED: Once again it's time to combine the things you have learned in your previous levels. Blast your way free and make sure you also keep the rest of the Pingus under control. The Blocker action will be helpful. || data/levels/tutorial/snow14-grumbel.pingus:6
UNTRANSLATED: Climb, Climber,... Boom! || data/levels/tutorial/snow15-grumbel.pingus:5
UNTRANSLATED: As you might have already figured out from previous levels, you often have to combine different actions to get the job done. Due to the lack of a Digger action in this level the Bomber needs to jump in, but how can it reach the place to bomb?  || data/levels/tutorial/snow15-grumbel.pingus:6
UNTRANSLATED: If too high, your Pingu will die... || data/levels/tutorial/snow17-grumbel.pingus:5
UNTRANSLATED: Teamwork is the way to the exit this time. You don't have enough Floaters to reach the exit, so just send a few and let them prepare the path for the rest.  || data/levels/tutorial/snow17-grumbel.pingus:6
UNTRANSLATED: If no Jumper is at hand and a large hole needs to be passed, a bridge can be pretty helpful. It takes some time to build, but unlike the jumper action it allows following Pingus to reach the other end too.  || data/levels/tutorial/snow19-grumbel.pingus:6
UNTRANSLATED: Climb, Climber, climb... and build a bridge || data/levels/tutorial/snow21-grumbel.pingus:5
UNTRANSLATED: Once again you get access to a new action. The Climber action allows a Pingu to climb up straight walls, thus allowing him to reach stuff that might be too high to reach by other means.  || data/levels/tutorial/snow21-grumbel.pingus:6
UNTRANSLATED: Entrance high, Exit low || data/levels/tutorial/snow22-grumbel.pingus:5
UNTRANSLATED: If you don't have enough floaters to bring all the Pingus down to the exit - you have to find other ways to guide them down. You should have learned all the stuff you need for this level in previous levels, so this shouldn't be too much of a problem for you.  || data/levels/tutorial/snow22-grumbel.pingus:6
UNTRANSLATED: One must prepare, the rest must follow || data/levels/tutorial/snow7-grumbel.pingus:5
UNTRANSLATED: Sometimes there are situations where you don't have a Blocker at hand to coordinate your Pingus. You'll have to find other ways to keep them under control while a single one prepares the path for the rest.  || data/levels/tutorial/snow7-grumbel.pingus:6
UNTRANSLATED: Dig and float, just don't fall and smash || data/levels/tutorial/snow8-grumbel.pingus:5
UNTRANSLATED: Unlike the first two levels, you have two actions available in this level. Your job is again simple: select an action at the panel on the left and apply it to the Pingus so that they will be able to reach the exit. Make sure that not too many of them die.  || data/levels/tutorial/snow8-grumbel.pingus:6
UNTRANSLATED: Dig, bash and other problems || data/levels/tutorial/snow9-grumbel.pingus:5
UNTRANSLATED: The more levels you master, the more difficult they will get, but don't panic, as this one is still pretty easy. Just use the stuff that you've learned in the previous levels and you shouldn't have many problems. If you think you've reached a situation from which you can no longer solve the level, double click the armageddon button at the lower right.  || data/levels/tutorial/snow9-grumbel.pingus:6
UNTRANSLATED: Solid ground can block the path || data/levels/tutorial/solid-tutorial-grumbel.pingus:5
UNTRANSLATED: As you have learned in earlier levels your Pingus can dig through basically any terrain, but there is one material which they can't penetrate: steel. These regions are marked dark grey on the level map and cannot be destroyed, so you must find a way around them.  || data/levels/tutorial/solid-tutorial-grumbel.pingus:6
